id,dataset,scene_name,question_type,question,ground_truth,options
530,arkitscenes,41069025,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",26.4,
531,arkitscenes,41069043,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",16.3,
532,arkitscenes,41069048,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",7.1,
533,arkitscenes,41125700,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",30.9,
534,arkitscenes,41125731,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",23.6,
535,arkitscenes,41125760,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.2,
536,arkitscenes,41142280,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",8.0,
537,arkitscenes,41159504,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",19.7,
538,arkitscenes,41159525,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",29.5,
539,arkitscenes,41159530,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",24.7,
540,arkitscenes,41159541,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",43.2,
541,arkitscenes,41159555,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",28.4,
542,arkitscenes,41159572,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",43.0,
543,arkitscenes,41254246,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",14.6,
544,arkitscenes,41254386,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",8.3,
545,arkitscenes,41254402,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",11.4,
546,arkitscenes,41254432,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",31.6,
547,arkitscenes,42444950,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",21.3,
548,arkitscenes,42444954,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",7.5,
549,arkitscenes,42444976,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",17.6,
550,arkitscenes,42445026,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",11.6,
551,arkitscenes,42445031,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",19.2,
552,arkitscenes,42445429,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",16.2,
553,arkitscenes,42445981,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",19.9,
554,arkitscenes,42445984,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",24.9,
555,arkitscenes,42446049,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.6,
556,arkitscenes,42446056,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",27.0,
557,arkitscenes,42446116,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",14.8,
558,arkitscenes,42446103,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",38.7,
559,arkitscenes,42446151,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",26.6,
560,arkitscenes,42446167,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.7,
561,arkitscenes,42446517,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",22.6,
562,arkitscenes,42446529,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.0,
563,arkitscenes,42446535,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.2,
564,arkitscenes,42446541,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",34.0,
565,arkitscenes,42897508,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.6,
566,arkitscenes,42897528,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",11.9,
567,arkitscenes,42897538,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",29.0,
568,arkitscenes,42897550,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",9.4,
569,arkitscenes,42897554,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.1,
570,arkitscenes,42897564,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",16.9,
571,arkitscenes,42897629,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",50.1,
572,arkitscenes,42897647,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",37.4,
573,arkitscenes,42897688,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",31.2,
574,arkitscenes,42897692,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",32.3,
575,arkitscenes,42898486,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",34.6,
576,arkitscenes,42898527,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.9,
577,arkitscenes,42898544,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",23.3,
578,arkitscenes,42898581,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",26.9,
579,arkitscenes,42898817,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.3,
580,arkitscenes,42898826,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",14.8,
581,arkitscenes,42898849,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",73.0,
582,arkitscenes,42898869,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.2,
583,arkitscenes,42899461,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",38.4,
584,arkitscenes,42899612,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",28.6,
585,arkitscenes,42899617,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",9.1,
586,arkitscenes,42899685,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",36.3,
587,arkitscenes,42899696,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",30.6,
588,arkitscenes,42899698,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",12.2,
589,arkitscenes,42899712,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",33.5,
590,arkitscenes,42899720,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",12.4,
591,arkitscenes,42899725,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",6.1,
592,arkitscenes,42899729,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",23.1,
593,arkitscenes,42899739,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",23.0,
594,arkitscenes,44358436,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.7,
595,arkitscenes,44358442,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",12.4,
596,arkitscenes,44358451,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.5,
597,arkitscenes,44358499,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",43.1,
598,arkitscenes,44358518,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",26.4,
599,arkitscenes,44358536,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",11.8,
600,arkitscenes,44358582,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",24.8,
601,arkitscenes,45260856,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",27.4,
602,arkitscenes,45260900,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",8.5,
603,arkitscenes,45260905,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",32.9,
604,arkitscenes,45260928,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",25.2,
605,arkitscenes,45261121,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",21.4,
606,arkitscenes,45261142,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",21.3,
607,arkitscenes,45261150,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",21.9,
608,arkitscenes,45261182,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",10.6,
609,arkitscenes,45261575,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",13.8,
610,arkitscenes,45261594,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",5.4,
611,arkitscenes,45261620,room_size_estimation,"What is the size of this room (in square meters)? 
If multiple rooms are shown, estimate the size of the combined space.",20.1,
