id,dataset,scene_name,question_type,question,ground_truth,options
167,arkitscenes,41069025,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the stove, measured in centimeters?",62,
168,arkitscenes,41069025,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the sofa, measured in centimeters?",173,
169,arkitscenes,41069025,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the tv, measured in centimeters?",91,
170,arkitscenes,41069043,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the bed, measured in centimeters?",213,
171,arkitscenes,41069043,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the tv, measured in centimeters?",71,
172,arkitscenes,41069048,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the bathtub, measured in centimeters?",163,
173,arkitscenes,41069048,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the toilet, measured in centimeters?",75,
174,arkitscenes,41125700,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the stove, measured in centimeters?",60,
175,arkitscenes,41125760,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the toilet, measured in centimeters?",80,
176,arkitscenes,41125760,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the bathtub, measured in centimeters?",165,
177,arkitscenes,41142280,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the bathtub, measured in centimeters?",167,
178,arkitscenes,41142280,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the toilet, measured in centimeters?",78,
179,arkitscenes,41159504,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the bathtub, measured in centimeters?",165,
180,arkitscenes,41159504,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the table, measured in centimeters?",71,
181,arkitscenes,41159504,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the toilet, measured in centimeters?",84,
182,arkitscenes,41159504,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the bed, measured in centimeters?",281,
183,arkitscenes,41159525,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the stove, measured in centimeters?",109,
184,arkitscenes,41159525,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the refrigerator, measured in centimeters?",177,
185,arkitscenes,41159525,object_size_estimation,"What is the length of the longest dimension (length, width, or height) of the table, measured in centimeters?",175,
